t,phi,theta,psi,pos_x,pos_y,pos_z,omega_x,omega_y,omega_z,vel_x,vel_y,vel_z,g,f_x_left,f_y_left,f_z_left,f_x_right,f_y_right,f_z_right,r_x_left,r_y_left,r_z_left,r_x_right,r_y_right,r_z_right,theta_delay_compensation,full_iteration_time,phi_delay_compensation
0.433333,4.2979e-05,5.46102e-07,1.37164e-05,-3.6895e-07,-0.0025343,1.48006,0.00275447,6.43251e-06,1.55345e-05,2.71716e-07,-0.00550951,0.00381495,-9.81,0.440034,-0.575036,3.79197,-5.99924e-14,-1.28968e-13,8.92284e-09,-0.165945,-0.00311433,-0.00664423,0.134055,-0.00310976,-0.00664423,3.21195e-05,420,0.00213098
0.466667,4.29786e-05,5.46101e-07,1.45739e-05,-4.49674e-07,-0.002689,1.48006,0.00275888,5.68921e-06,1.54852e-05,-8.36125e-07,-0.00551519,0.00385435,-9.81,73.0482,1.05855,654.779,8.73334e-15,-9.04773e-16,0,-0.164618,-0.00309073,0.00524577,0.135382,-0.00308616,0.00524577,-2.14724e-05,420,-0.00303967
0.5,4.29782e-05,5.46103e-07,1.58602e-05,-5.70522e-07,-0.00292105,1.48006,0.00276487,4.68402e-06,1.54186e-05,-2.33418e-06,-0.0055229,0.00390764,-9.81,0.415666,-1.36186,3.40466,-1.82034e-09,-1.20017e-14,0,-0.165964,-0.00319814,-0.00680423,0.134036,-0.00319357,-0.00680423,5.12835e-05,420,0.00494277
0.533333,4.29723e-05,5.46101e-07,1.6664e-05,-6.45942e-07,-0.00306608,1.48006,0.00285167,-9.9816e-06,1.44298e-05,-2.42065e-05,-0.00563489,0.00468303,-9.81,68.1602,2.10645,611.107,2.49552e-15,-6.91587e-15,0,-0.164619,-0.00306604,0.00525577,0.135381,-0.00306147,0.00525577,-4.65331e-05,420,-0.00736801
0.566667,4.01258e-05,5.55385e-07,1.78287e-05,-7.33222e-07,-0.00327317,1.48005,-0.00285242,9.21989e-06,3.89673e-05,1.80319e-05,-0.00403695,-0.004644,-9.81,0.972599,-3.27799,8.19498,1.64445e-10,-2.35079e-14,0,-0.165872,-0.00318859,-0.00602887,0.134128,-0.00318402,-0.00602887,6.80804e-05,420,0.011644
0.6,4.29784e-05,5.46124e-07,1.88617e-05,-8.51383e-07,-0.00346251,1.48006,0.0027763,2.77361e-06,1.5293e-05,-5.18086e-06,-0.00553766,0.00400902,-9.81,109.206,4.59169,978.634,-8.58501e-15,-2.70134e-13,0,-0.164629,-0.00312439,0.00545577,0.135371,-0.00311983,0.00545577,-7.58058e-05,420,-0.0180945
0.633333,4.01329e-05,5.54386e-07,1.96511e-05,-9.04827e-07,-0.00360192,1.48005,-0.00284563,8.19989e-06,3.89237e-05,1.65297e-05,-0.00404525,-0.00459013,-9.81,1.18919e-14,5.76507e-13,2.44812e-09,-2.67914,-7.31098,18.2815,-0.117645,-0.00362387,-0.0128188,0.182355,-0.00381239,-0.0128188,6.88199e-05,420,0.0264384
0.666667,4.29788e-05,5.46142e-07,2.08986e-05,-1.04109e-06,-0.00382993,1.48006,0.00278239,1.76038e-06,1.52269e-05,-6.69029e-06,-0.00554551,0.00406285,-9.81,1.58742e-13,-2.86058e-12,5.24401e-09,-56.0973,11.406,453.834,-0.115574,-0.0035418,0.00526577,0.184426,-0.00373032,0.00526577,0.000594904,420,-0.0404923
0.7,4.01945e-05,5.44777e-07,2.16339e-05,-1.10363e-06,-0.00395976,1.48005,-0.00278073,-1.4258e-06,3.85043e-05,2.22841e-06,-0.00412314,-0.00407931,-9.81,4.90014e-14,7.209e-14,0,-25.5412,-17.5664,197.035,-0.114584,-0.00374022,-0.00309831,0.185416,-0.00392873,-0.00309831,-0.000862922,420,0.0626043
0.733333,4.29755e-05,5.46147e-07,2.24531e-05,-1.18542e-06,-0.00411034,1.48006,0.00283396,-6.9452e-06,1.46411e-05,-1.9673e-05,-0.00561203,0.00452338,-9.81,-4.40829e-14,-2.60321e-13,8.88423e-09,-59.3531,26.9808,484.343,-0.11515,-0.00327186,0.00194577,0.18485,-0.00346037,0.00194577,0.00120306,420,-0.0965246
0.766667,4.29787e-05,5.46152e-07,2.33645e-05,-1.26981e-06,-0.00427472,1.48006,0.00278829,7.74106e-07,1.51629e-05,-8.15914e-06,-0.00555311,0.00411532,-9.81,-4.09414e-15,2.533e-13,0,-17.8634,-41.7896,124.643,-0.114524,-0.00410658,-0.00337423,0.185476,-0.00429509,-0.00337423,-0.00160636,420,0.148819
0.8,4.29757e-05,5.4615e-07,2.41686e-05,-1.34419e-06,-0.00441975,1.48006,0.00283033,-6.32523e-06,1.46847e-05,-1.87468e-05,-0.00560733,0.00449085,-9.81,1.89681e-13,-7.11488e-13,4.7594e-09,-54.7115,64.2046,468.299,-0.115291,-0.00277006,0.00299577,0.184708,-0.00295858,0.00299577,0.00301715,420,-0.229473
0.833333,4.29758e-05,5.4615e-07,2.50264e-05,-1.4234e-06,-0.00457446,1.48006,0.00282872,-6.05142e-06,1.4704e-05,-1.83377e-05,-0.00560524,0.0044765,-9.81,1.34334e-15,6.26925e-14,0,-45.3978,-99.4318,248.841,-0.114609,-0.0047408,-0.00337423,0.185391,-0.00492931,-0.00337423,-0.00507429,420,0.353907
0.866667,4.29782e-05,5.46152e-07,2.59379e-05,-1.5074e-06,-0.00473884,1.48006,0.0027931,-3.12038e-08,1.51111e-05,-9.358e-06,-0.00555928,0.00415825,-9.81,5.35932e-14,-8.06618e-13,8.18784e-09,-8.99443,150.902,427.377,-0.114782,-0.00172023,0.000685773,0.185218,-0.00190874,0.000685773,0.0189223,420,-0.546485
0.9,4.01501e-05,5.5177e-07,2.68345e-05,-1.57371e-06,-0.00489761,1.48005,-0.00282793,5.54243e-06,3.88114e-05,1.26359e-05,-0.00406666,-0.00445011,-9.81,1.38457e-11,2.041e-11,6.11065e-09,-400.475,-243.468,1002.22,-0.115456,-0.00635196,-0.00260868,0.184544,-0.00654048,-0.00260868,-0.0587396,420,0.831423
0.933333,4.29761e-05,5.46154e-07,2.8136e-05,-1.70945e-06,-0.00513528,1.48006,0.00282393,-5.22756e-06,1.47627e-05,-1.71063e-05,-0.00559904,0.0044334,-9.81,8.04155e-13,5.76075e-12,0,480,480,1200,-0.108207,0.000822544,-0.0129542,0.191792,0.000634024,-0.0129542,0.364635,420,-1.34308
0.966667,4.01799e-05,5.4717e-07,2.97832e-05,-1.85097e-06,-0.00542946,1.48005,-0.00279682,9.23501e-07,3.86112e-05,5.78968e-06,-0.00410406,-0.00420518,-9.81,-200.268,-480,1200,-1.11978e-14,1.03672e-14,2.78272e-10,0.042863,0.128037,-0.0169284,0.241568,0.142564,-0.0169284,-0.844481,420,2.67992
1,4.29773e-05,5.46176e-07,3.11387e-05,-1.98406e-06,-0.00567676,1.48006,0.00282055,-4.63355e-06,1.48061e-05,-1.62178e-05,-0.00559468,0.00440243,-9.81,-213.571,353.223,883.07,-2.74557e-14,-4.73888e-13,7.5568e-09,0.0554598,0.145811,-0.0166242,0.254165,0.160338,-0.0166242,0.22153,420,-2.06814
1.03333,4.29791e-05,5.46187e-07,3.23721e-05,-2.0964e-06,-0.00589916,1.48006,0.00280113,-1.34545e-06,1.50293e-05,-1.13126e-05,-0.00556962,0.00422866,-9.81,480,-480,1200,-3.97653e-12,4.43557e-11,8.90757e-09,0.0557069,0.130456,-0.0110542,0.254413,0.144983,-0.0110542,0.241398,420,2.45364
1.06667,4.29768e-05,5.46173e-07,3.87539e-05,-2.67365e-06,-0.00704983,1.48006,0.00281517,-3.70709e-06,1.48762e-05,-1.48295e-05,-0.00558764,0.00435451,-9.81,-479.999,173.846,1200,-6.34474e-13,-3.33911e-12,1.67956e-09,0.0428624,0.144956,-0.0169142,0.241568,0.159483,-0.0169142,-0.697981,420,-2.0448
1.1,4.29774e-05,5.46181e-07,4.49224e-05,-3.22491e-06,-0.00816179,1.48006,0.00280756,-2.39693e-06,1.49708e-05,-1.28701e-05,-0.00557778,0.00428606,-9.81,-410.728,-368.821,1026.83,-1.70629e-12,2.03427e-11,2.78166e-09,0.0606403,0.132887,-0.0169242,0.259346,0.147414,-0.0169242,0.594989,420,1.63968
